video_path,scene,event_type,action_label,subject_id,age_group,gender,lighting,camera_angle,occlusion,resolution,fps,duration_s,fall_start_ts,fall_end_ts,annotation_file,sensor_file,note
videos/bathroom/fall/bathroom_fall_w01_20260827.mp4,bathroom,fall,fall,unknown,unknown,unknown,unknown,ceiling,unknown,1920x1080,29.97,23.991,0.300,23.791,annotations/action_events/bathroom_fall_w01_20260827.json,,"source=YouTube web; yt-dlp_id=pXb66KcrtVQ; url=https://www.youtube.com/watch?v=pXb66KcrtVQ; title=Nursing home's smart restroom and bathroom fall detection demo; approx, web source, not frame-accurate; person_bbox not invented; 3D simulated nursing-home restroom demo (toilets/sinks/shower visible). HKSB Fall & Non-movement Detection AI System. Not a real RGB person; avatar/figure on floor with FALL DETECTED overlay. Included because public bathroom-fall RGB is scarce."
videos/bathroom/normal/bathroom_normal_w01_20260827.mp4,bathroom,adl,normal,unknown,unknown,unknown,unknown,ceiling,unknown,1920x1080,29.97,12.012,,,annotations/action_events/bathroom_normal_w01_20260827.json,,"source=YouTube web; yt-dlp_id=pXb66KcrtVQ; url=https://www.youtube.com/watch?v=pXb66KcrtVQ; title=Nursing home's smart restroom and bathroom fall detection demo; approx, web source, not frame-accurate; person_bbox not invented; Same HKSB 3D restroom demo, empty/normal monitoring ('No one yet' / Normal) before fall alert. Toilets and sinks visible."
videos/bedroom/fall/bedroom_fall_001_20260827.mp4,bedroom,forward_fall,fall,S_GMDCSA_02,unknown,unknown,day,unknown,unknown,1280x720,29.82,7.058,0.000,7.000,annotations/action_events/bedroom_fall_001_20260827.json,,"source=GMDCSA-24 Subject 2 Fall/03.mp4; source_scene=home (3 environments), mapped to bedroom because official description mentions a bed; actors=simulated (not elderly); demographics unknown in official files; original_resolution=1280x720; lighting from CSV Time of Recording='Day' -> day; official classes='Falling (FW)[0 to 7]'; description='Forward fall on the bed'; fall_start/end from official CSV class time spans; license=CC BY 4.0 (Zenodo 10.5281/zenodo.13354453); GitHub copy also MIT"
videos/bedroom/fall/bedroom_fall_002_20260827.mp4,bedroom,fall,fall,S_GMDCSA_02,unknown,unknown,night,unknown,unknown,1280x720,15.01,10.593,5.900,10.000,annotations/action_events/bedroom_fall_002_20260827.json,,"source=GMDCSA-24 Subject 2 Fall/11.mp4; source_scene=home (3 environments), mapped to bedroom because official description mentions a bed; actors=simulated (not elderly); demographics unknown in official files; original_resolution=1280x720; lighting from CSV Time of Recording='Night' -> night; official classes='Falling (BW[5.9 to 10]; Walking[0 to 1.3]'; description='Falling from bed to ground'; fall_start/end from official CSV class time spans; license=CC BY 4.0 (Zenodo 10.5281/zenodo.13354453); GitHub copy also MIT"
videos/bedroom/fall/bedroom_fall_003_20260827.mp4,bedroom,backward_fall,fall,S_GMDCSA_02,unknown,unknown,night,unknown,unknown,640x480,15,11.225,3.400,11.000,annotations/action_events/bedroom_fall_003_20260827.json,,"source=GMDCSA-24 Subject 2 Fall/14.mp4; source_scene=home (3 environments), mapped to bedroom because official description mentions a bed; actors=simulated (not elderly); demographics unknown in official files; original_resolution=640x480; lighting from CSV Time of Recording='Night' -> night; official classes='Falling (BW)[3.4 to 11]; Standing[0 to 3.2]'; description='Falling backward on the bed'; fall_start/end from official CSV class time spans; license=CC BY 4.0 (Zenodo 10.5281/zenodo.13354453); GitHub copy also MIT"
videos/bedroom/fall/bedroom_fall_004_20260827.mp4,bedroom,side_fall,fall,S_GMDCSA_02,unknown,unknown,day,unknown,unknown,1280x720,29.83,11.665,7.700,11.000,annotations/action_events/bedroom_fall_004_20260827.json,,"source=GMDCSA-24 Subject 2 Fall/15.mp4; source_scene=home (3 environments), mapped to bedroom because official description mentions a bed; actors=simulated (not elderly); demographics unknown in official files; original_resolution=1280x720; lighting from CSV Time of Recording='Day' -> day; official classes='Falling (SW)[7.7 to 11]; Sitting[0 to 7.7]; Writing[0 to 4.6]'; description='Writing while sitting on the bed; then falling on the ground'; fall_start/end from official CSV class time spans; license=CC BY 4.0 (Zenodo 10.5281/zenodo.13354453); GitHub copy also MIT"
videos/bedroom/fall/bedroom_fall_005_20260827.mp4,bedroom,fall_from_bed,fall,S_GMDCSA_02,unknown,unknown,day,unknown,unknown,1280x720,29.84,7.137,3.300,6.400,annotations/action_events/bedroom_fall_005_20260827.json,,"source=GMDCSA-24 Subject 2 Fall/24.mp4; source_scene=home (3 environments), mapped to bedroom because official description mentions a bed; actors=simulated (not elderly); demographics unknown in official files; original_resolution=1280x720; lighting from CSV Time of Recording='Day' -> day; official classes='Falling (SW)[3.3 to 6.4]; Sitting[0 to 1.7]; Standing[2 to 3.2]'; description='Standing from the bed and then falling sideways on the ground'; fall_start/end from official CSV class time spans; license=CC BY 4.0 (Zenodo 10.5281/zenodo.13354453); GitHub copy also MIT"
videos/bedroom/fall/bedroom_fall_006_20260827.mp4,bedroom,forward_fall,fall,S_GMDCSA_03,unknown,unknown,day,unknown,unknown,1280x720,29.87,6.575,2.600,6.000,annotations/action_events/bedroom_fall_006_20260827.json,,"source=GMDCSA-24 Subject 3 Fall/02.mp4; source_scene=home (3 environments), mapped to bedroom because official description mentions a bed; actors=simulated (not elderly); demographics unknown in official files; original_resolution=1280x720; lighting from CSV Time of Recording='Day' -> day; official classes='Fall (FW)[2.6 to 6]; Standing[1.3 to 2.2]; Walking[0 to 1.3]'; description='Falling on the bed (forward)'; fall_start/end from official CSV class time spans; license=CC BY 4.0 (Zenodo 10.5281/zenodo.13354453); GitHub copy also MIT"
videos/bedroom/fall/bedroom_fall_007_20260827.mp4,bedroom,forward_fall,fall,S_GMDCSA_03,unknown,unknown,day,unknown,unknown,1280x720,29.87,4.395,1.700,4.000,annotations/action_events/bedroom_fall_007_20260827.json,,"source=GMDCSA-24 Subject 3 Fall/10.mp4; source_scene=home (3 environments), mapped to bedroom because official description mentions a bed; actors=simulated (not elderly); demographics unknown in official files; original_resolution=1280x720; lighting from CSV Time of Recording='Day' -> day; official classes='Falling (FW)[1.7 to 4]'; description='Falling forward on the bed'; fall_start/end from official CSV class time spans; license=CC BY 4.0 (Zenodo 10.5281/zenodo.13354453); GitHub copy also MIT"
videos/bedroom/fall/bedroom_fall_008_20260827.mp4,bedroom,fall_from_bed,fall,S_GMDCSA_03,unknown,unknown,day,unknown,unknown,1280x720,29.84,4.256,1.600,4.000,annotations/action_events/bedroom_fall_008_20260827.json,,"source=GMDCSA-24 Subject 3 Fall/12.mp4; source_scene=home (3 environments), mapped to bedroom because official description mentions a bed; actors=simulated (not elderly); demographics unknown in official files; original_resolution=1280x720; lighting from CSV Time of Recording='Day' -> day; official classes='Falling (BW)[1.6 to 4]; Standing[0 to 0.8]'; description='Falling backward from the bed'; fall_start/end from official CSV class time spans; license=CC BY 4.0 (Zenodo 10.5281/zenodo.13354453); GitHub copy also MIT"
videos/bedroom/fall/bedroom_fall_009_20260827.mp4,bedroom,backward_fall,fall,S_GMDCSA_03,unknown,unknown,night,unknown,unknown,1280x720,15.04,8.521,1.400,8.000,annotations/action_events/bedroom_fall_009_20260827.json,,"source=GMDCSA-24 Subject 3 Fall/17.mp4; source_scene=home (3 environments), mapped to bedroom because official description mentions a bed; actors=simulated (not elderly); demographics unknown in official files; original_resolution=1280x720; lighting from CSV Time of Recording='Night' -> night; official classes='Falling (BW)[1.4 to 8]; Reading[0 to 1.1]; Sitting[0 to 1.4]'; description='Reading newspaper then falling Backward on the bed'; fall_start/end from official CSV class time spans; license=CC BY 4.0 (Zenodo 10.5281/zenodo.13354453); GitHub copy also MIT"
videos/bedroom/fall/bedroom_fall_010_20260827.mp4,bedroom,side_fall,fall,S_GMDCSA_03,unknown,unknown,night,unknown,unknown,1280x720,14.99,11.896,4.200,11.000,annotations/action_events/bedroom_fall_010_20260827.json,,"source=GMDCSA-24 Subject 3 Fall/18.mp4; source_scene=home (3 environments), mapped to bedroom because official description mentions a bed; actors=simulated (not elderly); demographics unknown in official files; original_resolution=1280x720; lighting from CSV Time of Recording='Night' -> night; official classes='Falling (SW)[4.2 to 11]; Sitting[0 to 3.2]'; description='Sitting on the bed; then falling on the floor'; fall_start/end from official CSV class time spans; license=CC BY 4.0 (Zenodo 10.5281/zenodo.13354453); GitHub copy also MIT"
videos/bedroom/fall/bedroom_fall_011_20260827.mp4,bedroom,fall_from_bed,fall,S_GMDCSA_04,unknown,unknown,day,unknown,unknown,640x480,29.84,4.675,1.800,4.000,annotations/action_events/bedroom_fall_011_20260827.json,,"source=GMDCSA-24 Subject 4 Fall/01.mp4; source_scene=home (3 environments), mapped to bedroom because official description mentions a bed; actors=simulated (not elderly); demographics unknown in official files; original_resolution=640x480; lighting from CSV Time of Recording='Day (Lights On)' -> day; official classes='Falling (SW)[1.8 to 4]; Standing[0 to 1.5]'; description='Standing on the bed to falling (LS) on the bed'; fall_start/end from official CSV class time spans; license=CC BY 4.0 (Zenodo 10.5281/zenodo.13354453); GitHub copy also MIT"
videos/bedroom/fall/bedroom_fall_012_20260827.mp4,bedroom,fall_from_bed,fall,S_GMDCSA_04,unknown,unknown,day,unknown,unknown,640x480,29.89,2.984,1.500,2.000,annotations/action_events/bedroom_fall_012_20260827.json,,"source=GMDCSA-24 Subject 4 Fall/02.mp4; source_scene=home (3 environments), mapped to bedroom because official description mentions a bed; actors=simulated (not elderly); demographics unknown in official files; original_resolution=640x480; lighting from CSV Time of Recording='Day (Lights On)' -> day; official classes='Falling (SW)[1.5 to 2]; Sleeping[0 to 1.4]'; description='Falling (LS) from the bed to the floor'; fall_start/end from official CSV class time spans; license=CC BY 4.0 (Zenodo 10.5281/zenodo.13354453); GitHub copy also MIT"
videos/bedroom/fall/bedroom_fall_013_20260827.mp4,bedroom,fall_from_bed,fall,S_GMDCSA_04,unknown,unknown,low,unknown,unknown,1280x720,29.83,7.416,2.700,7.000,annotations/action_events/bedroom_fall_013_20260827.json,,"source=GMDCSA-24 Subject 4 Fall/05.mp4; source_scene=home (3 environments), mapped to bedroom because official description mentions a bed; actors=simulated (not elderly); demographics unknown in official files; original_resolution=1280x720; lighting from CSV Time of Recording='Day (Lights Off)' -> low; official classes='Falling (SW)[2.7 to 7]; Sitting[0 to 2.4]'; description='Falling (RS) on the bed from sitting on the bed'; fall_start/end from official CSV class time spans; license=CC BY 4.0 (Zenodo 10.5281/zenodo.13354453); GitHub copy also MIT"
videos/bedroom/fall/bedroom_fall_014_20260827.mp4,bedroom,fall_from_bed,fall,S_GMDCSA_04,unknown,unknown,low,unknown,unknown,1280x720,29.85,6.130,1.100,6.000,annotations/action_events/bedroom_fall_014_20260827.json,,"source=GMDCSA-24 Subject 4 Fall/06.mp4; source_scene=home (3 environments), mapped to bedroom because official description mentions a bed; actors=simulated (not elderly); demographics unknown in official files; original_resolution=1280x720; lighting from CSV Time of Recording='Day (Lights Off)' -> low; official classes='Falling (SW)[1.1 to 6]; Sitting[0 to 1]'; description='Falling (LS) on the bed from sitting on the bed then falling (RS) to the floor'; fall_start/end from official CSV class time spans; license=CC BY 4.0 (Zenodo 10.5281/zenodo.13354453); GitHub copy also MIT"
videos/bedroom/fall/bedroom_fall_015_20260827.mp4,bedroom,fall_from_bed,fall,S_GMDCSA_04,unknown,unknown,low,unknown,unknown,1280x720,29.88,6.258,2.300,6.000,annotations/action_events/bedroom_fall_015_20260827.json,,"source=GMDCSA-24 Subject 4 Fall/08.mp4; source_scene=home (3 environments), mapped to bedroom because official description mentions a bed; actors=simulated (not elderly); demographics unknown in official files; original_resolution=1280x720; lighting from CSV Time of Recording='Day (Lights Off)' -> low; official classes='Falling (BW)[2.3 to 6]; Sitting[0 to 2.2]'; description='Falling backward on the bed from sitting on the bed'; fall_start/end from official CSV class time spans; license=CC BY 4.0 (Zenodo 10.5281/zenodo.13354453); GitHub copy also MIT"
videos/bedroom/fall/bedroom_fall_016_20260827.mp4,bedroom,fall_from_bed,fall,S_GMDCSA_04,unknown,unknown,day,unknown,unknown,1280x720,29.84,6.066,,,annotations/action_events/bedroom_fall_016_20260827.json,,"source=GMDCSA-24 Subject 4 Fall/09.mp4; source_scene=home (3 environments), mapped to bedroom because official description mentions a bed; actors=simulated (not elderly); demographics unknown in official files; original_resolution=1280x720; lighting from CSV Time of Recording='Day (Lights On)' -> day; official classes='Falling (BW)[2.3 6]; Sitting[0 to 2]'; description='Falling backward on the bed from sitting on the bed'; fall_start/end from official CSV class time spans (left blank: no official span for this primary event); license=CC BY 4.0 (Zenodo 10.5281/zenodo.13354453); GitHub copy also MIT"
