new_video,source_dataset,source_file,scene,action_label,event_type
livingroom_adl_001_20260827.mp4,URFD,adl-01-cam0.mp4,livingroom,normal,adl
livingroom_adl_002_20260827.mp4,URFD,adl-02-cam0.mp4,livingroom,normal,adl
livingroom_adl_003_20260827.mp4,URFD,adl-03-cam0.mp4,livingroom,normal,adl
livingroom_adl_004_20260827.mp4,URFD,adl-04-cam0.mp4,livingroom,normal,adl
livingroom_adl_005_20260827.mp4,URFD,adl-05-cam0.mp4,livingroom,normal,adl
livingroom_adl_006_20260827.mp4,URFD,adl-06-cam0.mp4,livingroom,normal,adl
livingroom_adl_007_20260827.mp4,URFD,adl-07-cam0.mp4,livingroom,normal,adl
livingroom_adl_008_20260827.mp4,URFD,adl-08-cam0.mp4,livingroom,normal,adl
livingroom_adl_009_20260827.mp4,URFD,adl-09-cam0.mp4,livingroom,normal,adl
livingroom_adl_010_20260827.mp4,URFD,adl-12-cam0.mp4,livingroom,normal,adl
livingroom_adl_011_20260827.mp4,URFD,adl-13-cam0.mp4,livingroom,normal,adl
livingroom_adl_012_20260827.mp4,URFD,adl-14-cam0.mp4,livingroom,normal,adl
livingroom_adl_013_20260827.mp4,URFD,adl-15-cam0.mp4,livingroom,normal,adl
livingroom_adl_014_20260827.mp4,URFD,adl-16-cam0.mp4,livingroom,normal,adl
livingroom_adl_015_20260827.mp4,URFD,adl-17-cam0.mp4,livingroom,normal,adl
livingroom_adl_016_20260827.mp4,URFD,adl-18-cam0.mp4,livingroom,normal,adl
livingroom_adl_017_20260827.mp4,URFD,adl-19-cam0.mp4,livingroom,normal,adl
livingroom_adl_018_20260827.mp4,URFD,adl-20-cam0.mp4,livingroom,normal,adl
livingroom_adl_019_20260827.mp4,URFD,adl-24-cam0.mp4,livingroom,normal,adl
livingroom_adl_020_20260827.mp4,URFD,adl-25-cam0.mp4,livingroom,normal,adl
livingroom_adl_021_20260827.mp4,URFD,adl-26-cam0.mp4,livingroom,normal,adl
livingroom_adl_022_20260827.mp4,URFD,adl-27-cam0.mp4,livingroom,normal,adl
livingroom_adl_023_20260827.mp4,URFD,adl-28-cam0.mp4,livingroom,normal,adl
livingroom_adl_024_20260827.mp4,URFD,adl-29-cam0.mp4,livingroom,normal,adl
livingroom_adl_025_20260827.mp4,Le2i,Coffee_room_02/video (61).avi,livingroom,normal,adl
livingroom_adl_026_20260827.mp4,Le2i,Coffee_room_02/video (63).avi,livingroom,normal,adl
livingroom_adl_027_20260827.mp4,Le2i,Coffee_room_02/video (65).avi,livingroom,normal,adl
livingroom_adl_028_20260827.mp4,Le2i,Coffee_room_02/video (66).avi,livingroom,normal,adl
livingroom_adl_029_20260827.mp4,Le2i,Coffee_room_02/video (67).avi,livingroom,normal,adl
livingroom_adl_030_20260827.mp4,Le2i,Coffee_room_02/video (68).avi,livingroom,normal,adl
livingroom_adl_031_20260827.mp4,Le2i,Coffee_room_02/video (69).avi,livingroom,normal,adl
livingroom_adl_032_20260827.mp4,Le2i,Coffee_room_02/video (70).avi,livingroom,normal,adl
livingroom_adl_033_20260827.mp4,Le2i,Home_02/video (38).avi,livingroom,normal,adl
livingroom_adl_034_20260827.mp4,Le2i,Home_02/video (39).avi,livingroom,normal,adl
livingroom_adl_035_20260827.mp4,Le2i,Home_02/video (40).avi,livingroom,normal,adl
livingroom_adl_036_20260827.mp4,Le2i,Home_02/video (41).avi,livingroom,normal,adl
livingroom_adl_037_20260827.mp4,Le2i,Home_02/video (42).avi,livingroom,normal,adl
livingroom_adl_038_20260827.mp4,Le2i,Home_02/video (43).avi,livingroom,normal,adl
livingroom_adl_039_20260827.mp4,Le2i,Home_02/video (44).avi,livingroom,normal,adl
livingroom_adl_040_20260827.mp4,Le2i,Home_02/video (45).avi,livingroom,normal,adl
livingroom_adl_041_20260827.mp4,Le2i,Home_02/video (46).avi,livingroom,normal,adl
