new_video,source_dataset,source_file,scene,action_label,event_type
livingroom_fall_061_20260827.mp4,Le2i,Coffee_room_01/video (1).avi,livingroom,fall,fall
livingroom_fall_062_20260827.mp4,Le2i,Coffee_room_01/video (10).avi,livingroom,fall,fall
livingroom_fall_063_20260827.mp4,Le2i,Coffee_room_01/video (11).avi,livingroom,fall,fall
livingroom_fall_064_20260827.mp4,Le2i,Coffee_room_01/video (12).avi,livingroom,fall,fall
livingroom_fall_065_20260827.mp4,Le2i,Coffee_room_01/video (13).avi,livingroom,fall,fall
livingroom_fall_066_20260827.mp4,Le2i,Coffee_room_01/video (14).avi,livingroom,fall,fall
livingroom_fall_067_20260827.mp4,Le2i,Coffee_room_01/video (15).avi,livingroom,fall,fall
livingroom_fall_068_20260827.mp4,Le2i,Coffee_room_01/video (16).avi,livingroom,fall,fall
livingroom_fall_069_20260827.mp4,Le2i,Coffee_room_01/video (17).avi,livingroom,fall,fall
livingroom_fall_070_20260827.mp4,Le2i,Coffee_room_01/video (18).avi,livingroom,fall,fall
livingroom_fall_071_20260827.mp4,Le2i,Coffee_room_01/video (19).avi,livingroom,fall,fall
livingroom_fall_072_20260827.mp4,Le2i,Coffee_room_01/video (2).avi,livingroom,fall,fall
livingroom_fall_073_20260827.mp4,Le2i,Coffee_room_01/video (20).avi,livingroom,fall,fall
livingroom_fall_074_20260827.mp4,Le2i,Coffee_room_01/video (21).avi,livingroom,fall,fall
livingroom_fall_075_20260827.mp4,Le2i,Coffee_room_01/video (22).avi,livingroom,fall,fall
livingroom_fall_076_20260827.mp4,Le2i,Coffee_room_01/video (23).avi,livingroom,fall,fall
livingroom_fall_077_20260827.mp4,Le2i,Coffee_room_01/video (24).avi,livingroom,fall,fall
livingroom_fall_078_20260827.mp4,Le2i,Coffee_room_01/video (25).avi,livingroom,fall,fall
livingroom_fall_079_20260827.mp4,Le2i,Coffee_room_01/video (26).avi,livingroom,fall,fall
livingroom_fall_080_20260827.mp4,Le2i,Coffee_room_01/video (27).avi,livingroom,fall,fall
livingroom_fall_081_20260827.mp4,Le2i,Coffee_room_01/video (28).avi,livingroom,fall,fall
livingroom_fall_082_20260827.mp4,Le2i,Coffee_room_01/video (29).avi,livingroom,fall,fall
livingroom_fall_083_20260827.mp4,Le2i,Coffee_room_01/video (3).avi,livingroom,fall,fall
livingroom_fall_084_20260827.mp4,Le2i,Coffee_room_01/video (30).avi,livingroom,fall,fall
livingroom_fall_085_20260827.mp4,Le2i,Coffee_room_01/video (31).avi,livingroom,fall,fall
livingroom_fall_086_20260827.mp4,Le2i,Coffee_room_01/video (32).avi,livingroom,fall,fall
livingroom_fall_087_20260827.mp4,Le2i,Coffee_room_01/video (33).avi,livingroom,fall,fall
livingroom_fall_088_20260827.mp4,Le2i,Coffee_room_01/video (34).avi,livingroom,fall,fall
livingroom_fall_089_20260827.mp4,Le2i,Coffee_room_01/video (35).avi,livingroom,fall,fall
livingroom_fall_090_20260827.mp4,Le2i,Coffee_room_01/video (36).avi,livingroom,fall,fall
livingroom_fall_091_20260827.mp4,Le2i,Coffee_room_01/video (37).avi,livingroom,fall,fall
livingroom_fall_092_20260827.mp4,Le2i,Coffee_room_01/video (38).avi,livingroom,fall,fall
livingroom_fall_093_20260827.mp4,Le2i,Coffee_room_01/video (39).avi,livingroom,fall,fall
livingroom_fall_094_20260827.mp4,Le2i,Coffee_room_01/video (4).avi,livingroom,fall,fall
livingroom_fall_095_20260827.mp4,Le2i,Coffee_room_01/video (40).avi,livingroom,fall,fall
livingroom_fall_096_20260827.mp4,Le2i,Coffee_room_01/video (41).avi,livingroom,fall,fall
livingroom_fall_097_20260827.mp4,Le2i,Coffee_room_01/video (42).avi,livingroom,fall,fall
livingroom_fall_098_20260827.mp4,Le2i,Coffee_room_01/video (43).avi,livingroom,fall,fall
livingroom_fall_099_20260827.mp4,Le2i,Coffee_room_01/video (44).avi,livingroom,fall,fall
livingroom_fall_100_20260827.mp4,Le2i,Coffee_room_01/video (45).avi,livingroom,fall,fall
livingroom_fall_101_20260827.mp4,Le2i,Coffee_room_01/video (46).avi,livingroom,fall,fall
livingroom_fall_102_20260827.mp4,Le2i,Coffee_room_01/video (47).avi,livingroom,fall,fall
livingroom_fall_103_20260827.mp4,Le2i,Coffee_room_01/video (48).avi,livingroom,fall,fall
livingroom_fall_104_20260827.mp4,Le2i,Coffee_room_01/video (5).avi,livingroom,fall,fall
livingroom_fall_105_20260827.mp4,Le2i,Coffee_room_01/video (6).avi,livingroom,fall,fall
livingroom_fall_106_20260827.mp4,Le2i,Coffee_room_01/video (7).avi,livingroom,fall,fall
livingroom_fall_107_20260827.mp4,Le2i,Coffee_room_01/video (8).avi,livingroom,fall,fall
