new_video,source_dataset,source_file,scene,action_label,event_type
livingroom_fall_001_20260827.mp4,URFD,fall-01-cam0.mp4,livingroom,fall,fall
livingroom_fall_002_20260827.mp4,URFD,fall-01-cam1.mp4,livingroom,fall,fall
livingroom_fall_003_20260827.mp4,URFD,fall-02-cam0.mp4,livingroom,fall,fall
livingroom_fall_004_20260827.mp4,URFD,fall-02-cam1.mp4,livingroom,fall,fall
livingroom_fall_005_20260827.mp4,URFD,fall-03-cam0.mp4,livingroom,fall,fall
livingroom_fall_006_20260827.mp4,URFD,fall-03-cam1.mp4,livingroom,fall,fall
livingroom_fall_007_20260827.mp4,URFD,fall-04-cam0.mp4,livingroom,fall,fall
livingroom_fall_008_20260827.mp4,URFD,fall-04-cam1.mp4,livingroom,fall,fall
livingroom_fall_009_20260827.mp4,URFD,fall-05-cam0.mp4,livingroom,fall,fall
livingroom_fall_010_20260827.mp4,URFD,fall-05-cam1.mp4,livingroom,fall,fall
livingroom_fall_011_20260827.mp4,URFD,fall-06-cam0.mp4,livingroom,fall,fall
livingroom_fall_012_20260827.mp4,URFD,fall-06-cam1.mp4,livingroom,fall,fall
livingroom_fall_013_20260827.mp4,URFD,fall-07-cam0.mp4,livingroom,fall,fall
livingroom_fall_014_20260827.mp4,URFD,fall-07-cam1.mp4,livingroom,fall,fall
livingroom_fall_015_20260827.mp4,URFD,fall-08-cam0.mp4,livingroom,fall,fall
livingroom_fall_016_20260827.mp4,URFD,fall-08-cam1.mp4,livingroom,fall,fall
livingroom_fall_017_20260827.mp4,URFD,fall-09-cam0.mp4,livingroom,fall,fall
livingroom_fall_018_20260827.mp4,URFD,fall-09-cam1.mp4,livingroom,fall,fall
livingroom_fall_019_20260827.mp4,URFD,fall-10-cam0.mp4,livingroom,fall,fall
livingroom_fall_020_20260827.mp4,URFD,fall-10-cam1.mp4,livingroom,fall,fall
livingroom_fall_021_20260827.mp4,URFD,fall-11-cam0.mp4,livingroom,fall,fall
livingroom_fall_022_20260827.mp4,URFD,fall-11-cam1.mp4,livingroom,fall,fall
livingroom_fall_023_20260827.mp4,URFD,fall-12-cam0.mp4,livingroom,fall,fall
livingroom_fall_024_20260827.mp4,URFD,fall-12-cam1.mp4,livingroom,fall,fall
livingroom_fall_025_20260827.mp4,URFD,fall-13-cam0.mp4,livingroom,fall,fall
livingroom_fall_026_20260827.mp4,URFD,fall-13-cam1.mp4,livingroom,fall,fall
livingroom_fall_027_20260827.mp4,URFD,fall-14-cam0.mp4,livingroom,fall,fall
livingroom_fall_028_20260827.mp4,URFD,fall-14-cam1.mp4,livingroom,fall,fall
livingroom_fall_029_20260827.mp4,URFD,fall-15-cam0.mp4,livingroom,fall,fall
livingroom_fall_030_20260827.mp4,URFD,fall-15-cam1.mp4,livingroom,fall,fall
livingroom_fall_031_20260827.mp4,URFD,fall-16-cam0.mp4,livingroom,fall,fall
livingroom_fall_032_20260827.mp4,URFD,fall-16-cam1.mp4,livingroom,fall,fall
livingroom_fall_033_20260827.mp4,URFD,fall-17-cam0.mp4,livingroom,fall,fall
livingroom_fall_034_20260827.mp4,URFD,fall-17-cam1.mp4,livingroom,fall,fall
livingroom_fall_035_20260827.mp4,URFD,fall-18-cam0.mp4,livingroom,fall,fall
livingroom_fall_036_20260827.mp4,URFD,fall-18-cam1.mp4,livingroom,fall,fall
livingroom_fall_037_20260827.mp4,URFD,fall-19-cam0.mp4,livingroom,fall,fall
livingroom_fall_038_20260827.mp4,URFD,fall-19-cam1.mp4,livingroom,fall,fall
livingroom_fall_039_20260827.mp4,URFD,fall-20-cam0.mp4,livingroom,fall,fall
livingroom_fall_040_20260827.mp4,URFD,fall-20-cam1.mp4,livingroom,fall,fall
livingroom_fall_041_20260827.mp4,URFD,fall-21-cam0.mp4,livingroom,fall,fall
livingroom_fall_042_20260827.mp4,URFD,fall-21-cam1.mp4,livingroom,fall,fall
livingroom_fall_043_20260827.mp4,URFD,fall-22-cam0.mp4,livingroom,fall,fall
livingroom_fall_044_20260827.mp4,URFD,fall-22-cam1.mp4,livingroom,fall,fall
livingroom_fall_045_20260827.mp4,URFD,fall-23-cam0.mp4,livingroom,fall,fall
livingroom_fall_046_20260827.mp4,URFD,fall-23-cam1.mp4,livingroom,fall,fall
livingroom_fall_047_20260827.mp4,URFD,fall-24-cam0.mp4,livingroom,fall,fall
livingroom_fall_048_20260827.mp4,URFD,fall-24-cam1.mp4,livingroom,fall,fall
livingroom_fall_049_20260827.mp4,URFD,fall-25-cam0.mp4,livingroom,fall,fall
livingroom_fall_050_20260827.mp4,URFD,fall-25-cam1.mp4,livingroom,fall,fall
