subject_id,age_group,gender,mobility_aid,source_dataset,note
unknown,unknown,unknown,unknown,URFD,"Official files do not publish subject demographics; actors are simulated (typically young), not elderly patients."
unknown,unknown,unknown,unknown,Le2i,"Official files do not publish subject demographics; actors are simulated (typically young), not elderly patients."
S_GMDCSA_01,unknown,unknown,unknown,GMDCSA-24,Official files do not publish per-subject age/gender; 4 actors in 3 home environments; simulated (not confirmed elderly).
S_GMDCSA_02,unknown,unknown,unknown,GMDCSA-24,Official files do not publish per-subject age/gender; 4 actors in 3 home environments; simulated (not confirmed elderly).
S_GMDCSA_03,unknown,unknown,unknown,GMDCSA-24,Official files do not publish per-subject age/gender; 4 actors in 3 home environments; simulated (not confirmed elderly).
S_GMDCSA_04,unknown,unknown,unknown,GMDCSA-24,Official files do not publish per-subject age/gender; 4 actors in 3 home environments; simulated (not confirmed elderly).
unknown,unknown,unknown,unknown,WebVideo,"Public YouTube educational/demo/CCTV clips; age/gender only filled when visually obvious; many simulated actors not elderly."
S_CAUCA_01,unknown,unknown,unknown,CAUCAFall,"Paper: 10 subjects of different ages/weights/heights, 5 male + 5 female; per-subject age/gender not listed in Dataset details.xlsx so left unknown. Simulated, not confirmed elderly."
S_CAUCA_10,unknown,unknown,unknown,CAUCAFall,"Paper: 10 subjects of different ages/weights/heights, 5 male + 5 female; per-subject age/gender not listed in Dataset details.xlsx so left unknown. Simulated, not confirmed elderly."
S_CAUCA_02,unknown,unknown,unknown,CAUCAFall,"Paper: 10 subjects of different ages/weights/heights, 5 male + 5 female; per-subject age/gender not listed in Dataset details.xlsx so left unknown. Simulated, not confirmed elderly."
S_CAUCA_03,unknown,unknown,unknown,CAUCAFall,"Paper: 10 subjects of different ages/weights/heights, 5 male + 5 female; per-subject age/gender not listed in Dataset details.xlsx so left unknown. Simulated, not confirmed elderly."
S_CAUCA_04,unknown,unknown,unknown,CAUCAFall,"Paper: 10 subjects of different ages/weights/heights, 5 male + 5 female; per-subject age/gender not listed in Dataset details.xlsx so left unknown. Simulated, not confirmed elderly."
S_CAUCA_05,unknown,unknown,unknown,CAUCAFall,"Paper: 10 subjects of different ages/weights/heights, 5 male + 5 female; per-subject age/gender not listed in Dataset details.xlsx so left unknown. Simulated, not confirmed elderly."
S_CAUCA_06,unknown,unknown,unknown,CAUCAFall,"Paper: 10 subjects of different ages/weights/heights, 5 male + 5 female; per-subject age/gender not listed in Dataset details.xlsx so left unknown. Simulated, not confirmed elderly."
S_CAUCA_07,unknown,unknown,unknown,CAUCAFall,"Paper: 10 subjects of different ages/weights/heights, 5 male + 5 female; per-subject age/gender not listed in Dataset details.xlsx so left unknown. Simulated, not confirmed elderly."
S_CAUCA_08,unknown,unknown,unknown,CAUCAFall,"Paper: 10 subjects of different ages/weights/heights, 5 male + 5 female; per-subject age/gender not listed in Dataset details.xlsx so left unknown. Simulated, not confirmed elderly."
S_CAUCA_09,unknown,unknown,unknown,CAUCAFall,"Paper: 10 subjects of different ages/weights/heights, 5 male + 5 female; per-subject age/gender not listed in Dataset details.xlsx so left unknown. Simulated, not confirmed elderly."
unknown,mixed,unknown,mixed,SmartHome-Bench,Public YouTube smart-home clips from SmartHome-Bench Zhao et al.; age/gender only when obvious; many not elderly.
